id,lastVisitTime,title,typedCount,url,visitCount
5272,2017-09-19T11:03:06.468Z,,0,https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf/related?hl=en,1
5271,2017-09-19T11:03:01.443Z,Export History/Bookmarks to JSON/CSV*/XLS* - Chrome Web Store,0,https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en,2
5161,2017-09-19T10:55:52.500Z,"Online Flight Booking, Hotels, Bus & Holiday Packages at Goibibo",0,https://www.goibibo.com/flights/air-MAA-GOI-20180125-20180129-1-0-0-E-D/,2
4001,2017-09-19T10:53:34.473Z,"Online Flight Booking, Hotels, Bus & Holiday Packages at Goibibo",0,https://www.goibibo.com/,8
5223,2017-09-19T09:23:58.586Z,my resume - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#sent/15e5ab2605826cfd,4
5270,2017-09-19T09:23:53.722Z,,0,https://mail.google.com/mail/u/0/#sent/15e5ab2605826cfd?projector=1,1
34,2017-09-19T09:23:40.852Z,Sent Mail - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#sent,54
30,2017-09-19T08:44:38.718Z,"Inbox (6,072) - nandyfeb4@gmail.com - Gmail",0,https://mail.google.com/mail/u/0/#inbox,292
5269,2017-09-19T08:44:20.145Z,Fwd: Application for the Role of Data Warehousing Technician - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#inbox/15e9411b2ccfab07,1
708,2017-09-19T08:41:21.286Z,SQL ALTER TABLE Statement,0,https://www.w3schools.com/sql/sql_alter.asp,5
5268,2017-09-19T08:41:13.085Z,alter table in sql server - Google Search,0,https://www.google.co.in/search?q=alter+table+in+sql+server&oq=alter+table+in+sql+&aqs=chrome.1.69i57j0l5.14639j0j7&sourceid=chrome&ie=UTF-8,1
5267,2017-09-19T08:37:11.927Z,sql - How to properly run ALTER VIEW after ALTER TABLE - Stack Overflow,0,https://stackoverflow.com/questions/8874533/how-to-properly-run-alter-view-after-alter-table,1
5266,2017-09-19T08:36:54.286Z,alter view in sql server - Google Search,0,https://www.google.co.in/search?q=alter+view+in+sql+server&oq=alter+view+in+sql+&aqs=chrome.1.69i57j0l5.5727j0j7&sourceid=chrome&ie=UTF-8,1
5243,2017-09-19T08:33:50.518Z,SAP BI Analyst - Visual BI Solutions Inc - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#inbox/1599c30138013735,2
5265,2017-09-19T07:49:58.937Z,"Nandhini, Top matching jobs for Systems Engineer, Datawarehousing Consultants - nandyfeb4@gmail.com - Gmail",0,https://mail.google.com/mail/u/0/#inbox/15e9768cffdd6f6c,1
5264,2017-09-19T07:49:57.076Z,"Dear NANDYFEB4, Buy 20,000 Mah Power Bank @ RS.899 Only - nandyfeb4@gmail.com - Gmail",0,https://mail.google.com/mail/u/0/#inbox/15e975b9898e5010,1
5263,2017-09-19T07:49:32.960Z,Data Science Certificate Program from IBM and IFMR - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#inbox/15e9868edf6a5dfa,1
5262,2017-09-19T07:49:29.418Z,#GhoomoResponsibly with Ola Outstation - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#inbox/15e98a91f7695dfb,1
5261,2017-09-19T07:43:56.795Z,SAP BI Analyst - Visual BI Solutions Inc - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#sent/1599c30138013735,1
5260,2017-09-19T07:43:54.059Z,Important - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#imp,1
2804,2017-09-19T07:43:53.321Z,Starred - nandyfeb4@gmail.com - Gmail,0,https://mail.google.com/mail/u/0/#starred,4
5259,2017-09-19T07:42:35.992Z,,0,https://www.google.co.in/maps/uv?hl=en&pb=!1s0x3ba8f79ff42c8659%3A0xf292870f168e7a18!2m22!2m2!1i80!2i80!3m1!2i20!16m16!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!2m2!1m1!1e6!3m1!7e115!4shttps%3A%2F%2Fpicasaweb.google.com%2Flh%2Fsredir%3Funame%3D111815268230222431777%26id%3D6443348444757015794%26target%3DPHOTO!5samazon%20%40%20coimbatore%20-%20Google%20Search&imagekey=!1e3!2s-njkA91bxgNo%2FWWtfRa3OvPI%2FAAAAAAAAG_8%2FHYFUoN6hmTILR7V-h6Jbux8wjemMx0gaQCLIBGAYYCw&sa=X&ved=0ahUKEwjf_eHs37DWAhUMPI8KHZNQDUYQoioIejAK,1
