id,lastVisitTime,title,typedCount,url,visitCount
9383,2017-09-19T11:07:15.910Z,Export History/Bookmarks to JSON/CSV*/XLS* - Chrome Web Store,0,https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en,2
9382,2017-09-19T11:05:40.352Z,[‎19-‎09-‎2017 16:29] Balaji Subramani: https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en - Google Search,0,https://www.google.co.in/search?q=%5B%E2%80%8E19-%E2%80%8E09-%E2%80%8E2017+16%3A29%5D+Balaji+Subramani%3A+https%3A%2F%2Fchrome.google.com%2Fwebstore%2Fdetail%2Fexport-historybookmarks-t%2Fdcoegfodcnjofhjfbhegcgjgapeichlf%3Fhl%3Den&oq=%5B%E2%80%8E19-%E2%80%8E09-%E2%80%8E2017+16%3A29%5D+Balaji+Subramani%3A+https%3A%2F%2Fchrome.google.com%2Fwebstore%2Fdetail%2Fexport-historybookmarks-t%2Fdcoegfodcnjofhjfbhegcgjgapeichlf%3Fhl%3Den&aqs=chrome..69i57.502j0j7&sourceid=chrome&ie=UTF-8,1
7691,2017-09-19T10:46:45.031Z,ZOLOG,0,http://10.100.130.20/iEngine/MyZolog.aspx,49
9381,2017-09-19T10:46:45.031Z,ZOLOG,0,http://10.100.130.20/Attendance/okcancel.aspx?ecrtFid=zKtWoCsg%2bSeT88yeOV%2bDEISqC0FoPwQ3c%2f88VldhKNih7sKfOdMGwS4rd5A731RaGXmwDu4VBkG%2buNre8gC%2fhWDTom70UGnSU7KBByMyUKzAyqpJweE6TkH3tIwrCqqK,2
7689,2017-09-19T10:43:51.282Z,Welcome to adrenalin,1,http://10.100.130.20/,79
7719,2017-09-18T20:46:48.224Z,Exit Adrenalin,0,http://10.100.130.20/Exitpage.aspx?status=ASO,27
7718,2017-09-18T20:46:48.185Z,Adrenalin Index Functions,0,http://10.100.130.20/iEngine/AesIndexFunctions.aspx?AES_ZOLOG_SIGNOUT=Y,28
7717,2017-09-18T20:46:48.143Z,ZOLOG,0,http://10.100.130.20/iEngine/MyZolog.aspx#,39
158,2017-09-18T20:43:35.112Z,Citrix XenApp - Applications,0,https://remote.foxinc.com/Citrix/Remote/site/default.aspx?CTX_CurrentFolder=%5c,103
157,2017-09-18T18:52:51.561Z,Citrix XenApp - Applications,0,https://remote.foxinc.com/Citrix/Remote/site/default.aspx?CTX_CurrentFolder=%5cToad%20for%20Oracle,45
108,2017-09-18T17:27:20.904Z,Citrix XenApp - Applications,0,https://remote.foxinc.com/Citrix/Remote/site/default.aspx?CTX_CurrentFolder=%5cMicrostrategy,37
29,2017-09-18T16:38:52.362Z,Citrix XenApp - Applications,0,https://remote.foxinc.com/Citrix/Remote/site/default.aspx,71
25,2017-09-18T16:38:50.762Z,Loading,0,https://remote.foxinc.com/Citrix/Remote/auth/silentDetection.aspx,140
23,2017-09-18T16:38:48.957Z,FOX Citrix Access Gateway,0,https://remote.foxinc.com/citrix/remote/loading.htm,71
22,2017-09-18T16:38:48.946Z,Loading,0,https://remote.foxinc.com/citrix/remote/,71
20,2017-09-18T16:38:48.911Z,,0,https://remote.foxinc.com/cgi/setclient?wica,71
18,2017-09-18T16:38:32.231Z,Citrix Access Gateway,0,https://remote.foxinc.com/cgi/login,76
17,2017-09-18T16:38:26.350Z,Netscaler Gateway,1,https://remote.foxinc.com/vpn/index.html,32
3411,2017-09-18T16:38:26.350Z,Netscaler Gateway,0,https://remote.foxinc.com/Citrix/Remote/auth/loggedout.aspx?CTX_MessageType=INFORMATION&CTX_MessageKey=SessionExpired,54
9379,2017-09-18T13:59:37.591Z,,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident.do%3Fsys_id%3Ddda5b35bdb854740230af969af96198f%26sysparm_record_target%3Dincident%26sysparm_record_row%3D1%26sysparm_record_rows%3D3%26sysparm_record_list%3Du_caller%253D80af22afdbfc3248d54bf25bbf96191c%255Eactive%253Dtrue%255EORDERBYassigned_to,1
9375,2017-09-18T13:59:31.320Z,INC4217742 | ServiceNow,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident_list.do%3Fsysparm_first_row%3D1%26sysparm_query%3Du_caller%253D80af22afdbfc3248d54bf25bbf96191c%255Eactive%253Dtrue%26sysparm_view%3D,2
9377,2017-09-18T13:59:27.498Z,Incidents | ServiceNow,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident.do%3Fsys_id%3D59684817db344b00230af969af961906%26sysparm_record_target%3Dincident%26sysparm_record_row%3D3%26sysparm_record_rows%3D3%26sysparm_record_list%3Du_caller%253D80af22afdbfc3248d54bf25bbf96191c%255Eactive%253Dtrue%255EORDERBYassigned_to,1
9373,2017-09-18T13:59:16.053Z,Incidents | ServiceNow,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident.do%3Fsys_id%3Db9bada0fdb8d4340230af969af961900%26sysparm_record_target%3Dincident%26sysparm_record_row%3D2%26sysparm_record_rows%3D3%26sysparm_record_list%3Du_caller%253D80af22afdbfc3248d54bf25bbf96191c%255Eactive%253Dtrue%255EORDERBYassigned_to,1
9371,2017-09-18T13:59:04.877Z,INC4202993 | ServiceNow,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident_list.do%3Fsysparm_query%3Du_caller%253D80af22afdbfc3248d54bf25bbf96191c%255Eactive%253Dtrue%26sysparm_first_row%3D1%26sysparm_view%3D,1
9369,2017-09-18T13:58:38.831Z,,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident_list.do%3Fsysparm_query%3Du_caller%253D80af22afdbfc3248d54bf25bbf96191c%26sysparm_first_row%3D1%26sysparm_view%3D,1
9367,2017-09-18T13:58:22.088Z,ServiceNow,0,https://fox.service-now.com/sys_user_list.do?sysparm_target=incident.u_caller.f36bfd0f36de90f36a040f3664d0f364&sysparm_target_value=80af22afdbfc3248d54bf25bbf96191c&sysparm_nameofstack=reflist&sysparm_clear_stack=true&sysparm_element=u_caller&sysparm_reference=sys_user&sysparm_view=sys_ref_list&sysparm_additional_qual=&sysparm_domain_restore=false,1
9366,2017-09-18T13:57:51.632Z,,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident_list.do%3Fsysparm_query%3D%26sysparm_first_row%3D1%26sysparm_view%3D,1
9364,2017-09-18T13:57:41.029Z,,0,https://fox.service-now.com/nav_to.do?uri=%2Fincident_list.do%3Fsysparm_query%3Dcaller_id%253Djavascript:gs.getUserID()%26sysparm_first_row%3D1%26sysparm_view%3D,1
